unitname,description,procure_type,budgetyear,method,budget,approve_type,procure_status,approvedate,saler,product,approve_budget,country,period,editor,remark,file
สป.,โครงการดำรงขีดความสามารถและเพิ่มประสิทธิภาพโรงงานของ ศอว.ศอพท. ประจำปี 59,ซื้อ,59,พิเศษ,76638600,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2015-12-29,บริษัท อินดี้ ซัพพลาย เอ็นจิเนียริ่ง จำกัด,,,ประเทศไทย,,,1,
สป.,"พท.ศอพท.ขออนุมัติสร้างระบบผลิตไฟฟ้าและสูบน้ำด้วยพลังแสงอาทิตย์แบบเคลื่อนที่ ขนาดไม่น้อยกว่า 1,200 วัตต์ พร้อมติดตั้ง จำนวน 200 ระบบ (เงินจากกระทรวงพลังงาน)",ซื้อ,59,e -bidding,239787000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-23,บริษัท โซลาร์ตรอน  จำกัด(มหาชน),,,ประเทศไทย,,,2,
สป.,(ผท.ทหาร) ซื้อกล้องถ่ายภาพทางอากาศเชิงเลข พร้อมชุดอุปกรณ์ จำนวน ๑ ชุด (๑๑ รายการ),ซื้อ,59,e - bidding,236577000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2015-12-24,บริษัท โกลเบิล อินฟอร์เมชั่น จำกัด,,,ประเทศไทย,,,3,
สป.,ศรภ. จัดซื้อระบบรวบรวมข้อมูลข่าวกรองทางการสื่อสารแบบดิจิตอล,ซื้อ,59,พิเศษ,59000000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-02-07,บริษัท กันโน่ ซิสเต็มส์ อินทีเกรชั่น จำกัด ,,,ประเทศไทย,,,4,
สป.,สยย.ทหาร โครงการก่อสร้างบ้านพักข้าราชการ บก.ทท. ระยะที่ 2 พื้นที่ทุ่งสีกัน 1 และ 4,จ้าง,59,e - bidding,163899000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-09,กิจการร่วมค้า เอนคอน - เสรี,,,ประเทศไทย,,,5,
ทบ.,(ขส.ทบ.) การจ้างเหมาส่งกำลังและซ่อมบำรุงชิ้นส่วนซ่อมสำหรับฟื้นฟู ฮ.ท.1 จำนวน 1 งาน,จ้าง,59,พิเศษ,271098601,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2015-12-26,บริษัท โรยัลสกาย จำกัด,,,ประเทศไทย,,,6,
ทบ.,(ยย.ทบ.) โครงการก่อสร้างอาคาร ม.พัน 31,จ้าง,59,พิเศษ,219665100,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2015-12-27,บริษัท วิทย์การช่าง จำกัด,,,ประเทศไทย,,,7,
ทบ.,(ขส.ทบ.) การจ้างเหมาส่งกำลังและซ่อมบำรุงชิ้นส่วนซ่อมสำหรับฟื้นฟู ฮ.ท.212 จำนวน 1 งาน,จ้าง,59,พิเศษ,298700805,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2015-12-30,บริษัท โรยัลสกาย จำกัด,,,ประเทศไทย,,,8,
ทบ.,(สส.)  จัดหาระบบเครื่องมือแผนที่อัตโนมัติ จำนวน 3 ระบบ,ซื้อ,59,พิเศษ,60000000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2015-12-31,บริษัท วสุรัตน์ แอนด์ แอสโซซิเอท จำกัด ,,,ประเทศไทย,,,9,
ทบ.,(สพ.ทบ.) จ้างซ่อมรถยนต์บรรทุก ขนาด 1 1/4 ตัน ยูนิมอก จำนวน 60 คัน,จ้าง,59,พิเศษ,60000000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2015-12-32,กิจการร่วมค้าอิทธิพร,,,ประเทศไทย,,,10,
